unit_type,unit,files,ncloc,cc_total,cc_per_fn,cc_mean_method_ck,cc_max_method_ck,cognitive_total,cognitive_per_fn,code_smells,smells_per_kloc,duplication_pct,cbo_mean,cbo_median,cbo_max,ck_classes,maint_rating,tech_debt_ratio_pct,tech_debt_min
ALG,001_binary_search,1,24,6,3.0,3.0,4,8,4.0,7,291.67,0.0,2.0,2.0,2,1,B,6.5,47
ALG,002_two_pointers_technique,1,26,6,3.0,3.0,4,7,3.5,5,192.31,0.0,2.0,2.0,2,1,A,4.2,33
ALG,003_prefix_sum_array,1,18,4,2.0,2.0,2,2,1.0,3,166.67,0.0,2.0,2.0,2,1,B,5.6,30
ALG,004_breadth_first_search,1,47,11,2.75,2.75,4,11,2.75,4,85.11,0.0,2.0,2.0,2,1,A,1.7,24
ALG,005_depth_first_search,1,43,10,2.5,2.5,3,8,2.0,5,116.28,0.0,2.0,2.0,2,1,A,3.3,42
ALG,006_topological_sorting_bfs,1,53,12,4.0,4.0,8,14,4.67,3,56.6,0.0,2.0,2.0,2,1,A,1.9,30
ALG,007_dijkstras_shortest_path,1,54,11,3.67,3.33,6,11,3.67,5,92.59,0.0,2.0,2.0,2,1,A,2.1,34
ALG,008_disjoint_set_union_find,1,29,6,1.5,1.75,2,2,0.5,2,68.97,0.0,2.0,2.0,2,1,A,2.3,20
ALG,009_merge_sort,1,52,12,4.0,4.0,8,11,3.67,13,250.0,0.0,2.0,2.0,2,1,A,4.3,67
ALG,010_quick_sort,1,35,8,2.0,2.0,3,5,1.25,3,85.71,0.0,2.0,2.0,2,1,A,2.0,21
ALG,011_binary_heap,1,111,28,2.0,2.0,6,15,1.07,10,90.09,0.0,1.5,1.5,2,2,A,1.6,54
ALG,012_building_heap_from_array,1,35,10,3.33,3.33,6,7,2.33,6,171.43,0.0,2.0,2.0,2,1,A,4.3,45
ALG,013_binary_search_tree_searching,1,32,6,2.0,2.0,4,5,1.67,3,93.75,0.0,1.5,1.5,2,2,A,2.3,22
ALG,014_trie_insert_and_search,1,70,17,2.83,2.83,6,18,3.0,6,85.71,0.0,1.5,1.5,2,2,A,2.9,60
ALG,015_open_addressing_linear_probing,1,90,23,2.3,2.4,6,16,1.6,10,111.11,0.0,1.0,1.0,2,2,A,3.0,81
ALG,016_lru_cache,1,78,10,1.43,1.43,3,3,0.43,6,76.92,0.0,1.33,1.0,2,3,A,2.6,60
ALG,017_knapsack_01,1,17,4,2.0,2.0,3,3,1.5,4,235.29,0.0,2.0,2.0,2,1,A,4.7,24
ALG,018_coin_change,1,22,5,2.5,2.5,4,6,3.0,2,90.91,0.0,2.0,2.0,2,1,A,3.0,20
ALG,019_matrix_chain_multiplication,1,26,6,3.0,3.0,5,10,5.0,2,76.92,0.0,2.0,2.0,2,1,A,2.6,20
ALG,020_longest_common_subsequence,1,26,5,2.5,2.5,4,7,3.5,7,269.23,0.0,2.0,2.0,2,1,A,3.7,29
ALG,021_kmp_pattern_searching,1,57,11,3.67,3.67,5,20,6.67,2,35.09,0.0,2.0,2.0,2,1,A,1.2,20
ALG,022_rabin_karp,1,51,12,6.0,6.0,10,21,10.5,4,78.43,0.0,1.0,1.0,1,1,A,2.6,40
ALG,023_bellman_ford,1,35,8,4.0,4.0,6,12,6.0,4,114.29,0.0,2.0,2.0,2,1,A,2.3,24
ALG,024_floyd_warshall,1,30,9,4.5,4.5,6,14,7.0,6,200.0,0.0,2.0,2.0,2,1,A,4.0,36
ALG,025_kruskals_mst,1,55,14,2.8,2.6,4,13,2.6,6,109.09,0.0,2.5,2.5,3,2,A,1.7,28
