unit,unit_type,tool,model,timestamp,branch,iteration,commit_sha,tree_sha,files,ncloc,cc_total,cc_per_fn,cc_mean_method_ck,cc_max_method_ck,cognitive_total,cognitive_per_fn,code_smells,smells_per_kloc,duplication_pct,cbo_mean,cbo_median,cbo_max,ck_classes,maint_rating,tech_debt_ratio_pct,tech_debt_min
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,0,809c7caa070009cbae5511391d918c8d994502f6,f62bb424a918cc85670cd5eab45ad71ba1189921,1,24,6,3.0,3.0,4,8,4.0,7,291.67,0.0,2.0,2.0,2,1,B,6.5,47
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,1,4e97e0a0cbedfa7f0a00ccd65278d4d0fd8e4d6f,59f2cc3736f8e93b3fbe8a7bdba89d30363dd026,1,29,6,3.0,3.0,4,7,3.5,3,103.45,0.0,2.0,2.0,2,1,A,3.4,30
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,2,7f44c0ecf45308ebcdf2e10b3caa7f2ebe45fb0a,cf25f46056708c4c749170c5d7dfaabfad0b113b,1,32,7,2.33,2.33,4,7,2.33,3,93.75,0.0,2.0,2.0,2,1,A,3.1,30
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,3,699c56c8464bd94f0e793795d42ad3b73111b85b,cf25f46056708c4c749170c5d7dfaabfad0b113b,1,32,7,2.33,2.33,4,7,2.33,3,93.75,0.0,2.0,2.0,2,1,A,3.1,30
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,4,c9cf12907196ac4d5e5d10e6a18b08de66755c2c,a676de1e33d90f98d686eb83278f4a6e9cb4eb5a,1,39,11,2.2,2.4,4,8,1.6,3,76.92,0.0,2.0,2.0,2,1,A,2.6,30
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,5,db7e2916f3eabd8f79692c80a9c04c1ef6b35aa1,a676de1e33d90f98d686eb83278f4a6e9cb4eb5a,1,39,11,2.2,2.4,4,8,1.6,3,76.92,0.0,2.0,2.0,2,1,A,2.6,30
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,6,20e2e470023ec1159aae24419a1b6701df5ad83b,7a1651805a1a22d08c7f7bb34eefd0d512572cc2,1,40,11,2.2,2.4,4,8,1.6,3,75.0,0.0,2.0,2.0,2,1,A,2.5,30
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,7,e820883c3ee1fe7a58c2134a3c2f30c35032a5ad,7a1651805a1a22d08c7f7bb34eefd0d512572cc2,1,40,11,2.2,2.4,4,8,1.6,3,75.0,0.0,2.0,2.0,2,1,A,2.5,30
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,8,5fb6a75704777f78f60796bc9fd019a54e210bfc,7e54ef960a0b2e777ef3d4b7e817bb014ec19e9f,2,72,21,1.62,1.62,4,10,0.77,4,55.56,0.0,2.0,2.0,3,2,A,1.9,40
001_binary_search,ALG,claude,claude-haiku-4-5,20260618T031609Z,claude-exp/20260618T031609Z-claude-haiku-4-5-high-Agent,9,364082898ac92cd2158b0dac443a01c297e5df34,7e54ef960a0b2e777ef3d4b7e817bb014ec19e9f,2,72,21,1.62,1.62,4,10,0.77,4,55.56,0.0,2.0,2.0,3,2,A,1.9,40
